"","SubjectID","Int15_65","Int15_70","NoInt15_65","NoInt15_70","MRI_ID"
"1",1,"EAC","EAC","EAC","EAC","ta6966"
"2",2,NA,NA,"EAC","EAC","ta7067"
"3",11,"EAC","EAC","EAC","EAC","ta7523"
"4",12,"EAC","EAC",NA,NA,NA
"5",14,"UPC","UPC","UPC","UPC","ta7193"
"6",19,"UGC","UGC","UGC","UGC","ta7279"
"7",21,"EAC","EAC",NA,NA,NA
"8",24,"EAC","EAC","EAC","EAC","ta6957"
"9",25,"UGC",NA,"UGC","UGC","ta7006"
"10",31,"UPC",NA,"UPC",NA,NA
"11",40,"UGC","UGC","UGC","UGC","ta7039"
"12",43,"UGC","UGC","UGC","UGC","ta6943"
"13",46,"UGC","UGC","UGC",NA,NA
"14",50,"UPC","UPC","UPC",NA,NA
"15",69,"UGC","UGC","UGC","UGC","ta6921"
"16",73,"EAC","EAC","EAC","EAC","ta6871"
"17",77,"UGC","UGC","UGC","UGC","ta6773"
"18",78,"UGC","UGC","UGC","UGC","ta6778"
"19",80,"EAC","EAC","EAC","EAC","ta7139"
"20",84,"EAC","EAC","EAC","EAC","ta6861"
"21",85,"EAC","EAC","EAC","EAC","ta7071"
"22",88,"UGC","UGC","UGC","UGC","ta7207"
"23",89,"EAC","EAC","EAC","EAC","ta7165"
"24",92,"EAC","EAC","EAC","EAC","ta7317"
"25",95,"EAC","EAC","EAC","EAC","ta7290"
"26",98,"UGC","UGC","UGC","UGC","ta7389"
"27",100,"EAC","EAC",NA,NA,NA
"28",103,"EAC","EAC","EAC","EAC","ta7406"
"29",106,"UPC","UPC","UPC","UPC","ta7251"
"30",108,"EAC","EAC",NA,NA,NA
"31",112,"EAC","EAC","EAC","EAC","ta7508"
"32",115,"EAC","EAC","EAC","EAC","ta7454"
"33",121,NA,NA,"UGC",NA,NA
"34",136,"EAC","EAC","EAC","EAC","ta8168"
"35",140,"UPC",NA,"UPC",NA,NA
"36",142,"UGC","UGC","UGC","UGC","ta8837"
"37",165,NA,NA,"EAC","EAC","ta8121"
"38",170,"UGC","UGC","UGC","UGC","ta8394"
"39",171,NA,NA,"EAC","EAC","ta8351"
"40",181,NA,NA,"EAC","EAC","ta8656"
"41",189,"EAC","EAC",NA,NA,NA
"42",191,NA,NA,"EAC","EAC","ta8667"
"43",207,"UPC","UPC","UPC","UPC","ta9010"
"44",221,"UGC","UGC","UGC","UGC","ta9088"
"45",306,"EAC","EAC","EAC","EAC","tb4179"
"46",307,"EAC","EAC","EAC","EAC","tb4111"
"47",315,NA,NA,"EAC","EAC","tb4216"
"48",320,"EAC","EAC","EAC","EAC","tb4331"
"49",323,"EAC","EAC",NA,NA,NA
"50",324,"UGC","UGC",NA,NA,NA
"51",338,"UPC","UPC","UPC","UPC","tb4670"
"52",341,"UPC","UPC","UPC","UPC","tb4771"
"53",342,"EAC","EAC","EAC","EAC","tb4754"
"54",349,"UGC","UGC",NA,NA,NA
"55",1000,NA,NA,"EAC","EAC","tb5688"
"56",1002,"EAC","EAC","EAC","EAC","tb5762"
"57",1004,"EAC","EAC","EAC","EAC","tb5833"
"58",1013,"EAC","EAC","EAC","EAC","tb6150"
"59",1014,"EAC","EAC","EAC","EAC","tb6199"
"60",1016,"EAC","EAC","EAC","EAC","tb6301"
"61",1018,"UGC","UGC","UGC",NA,NA
"62",1020,"EAC","EAC",NA,NA,NA
"63",1024,"EAC","EAC","EAC","EAC","tb6366"
"64",1027,NA,NA,"EAC","EAC","tb6487"
"65",1031,"EAC","EAC",NA,NA,NA
"66",1035,"EAC","EAC","EAC","EAC","tb6843"
"67",1038,"EAC","EAC",NA,NA,NA
"68",1048,"EAC","EAC","EAC","EAC","tb7153"
"69",1050,"UPC","UPC","UPC","UPC","tb7065"
"70",1055,"UPC",NA,"UPC",NA,NA
"71",1059,NA,NA,"EAC","EAC","tb7375"
"72",1061,"EAC","EAC","EAC","EAC","tb7428"
"73",1064,"EAC","EAC","EAC","EAC","tb7658"
"74",1070,NA,NA,"UGC",NA,NA
"75",1073,NA,NA,"EAC","EAC","tb8068"
"76",1083,"UPC",NA,NA,NA,NA
"77",1085,"EAC","EAC","EAC","EAC","tb8503"
"78",1087,"EAC","EAC","EAC","EAC","tb8462"
"79",1091,"EAC","EAC","EAC","EAC","tb8595"
"80",1092,"EAC","EAC","EAC","EAC","tb8704"
"81",1093,"EAC","EAC","EAC","EAC","tb8562"
"82",1096,"UPC",NA,"UPC",NA,NA
"83",1098,"EAC","EAC","EAC","EAC","tb8965"
"84",1102,"EAC","EAC","EAC","EAC","tb8748"
"85",1108,"EAC","EAC","EAC","EAC","tb9148"
"86",1118,"UPC","UPC","UPC","UPC","tb9027"
"87",1125,"EAC","EAC","EAC","EAC","tb9331"
"88",1130,"UPC","UPC","UPC","UPC","tb1249"
"89",1134,"EAC","EAC","EAC","EAC","tb9440"
"90",1136,"UGC","UGC","UGC",NA,NA
"91",1140,NA,NA,"EAC","EAC","tb9405"
"92",1147,"EAC","EAC","EAC","EAC","tb9804"
"93",1154,"EAC","EAC","EAC","EAC","tb9614"
"94",1157,"UGC","UGC","UGC","UGC","tb9727"
"95",1160,"UGC","UGC","UGC","UGC","tb9692"
"96",1161,NA,NA,"UGC",NA,NA
"97",1165,"UPC","UPC","UPC","UPC","tb0138"
"98",1168,"UPC","UPC",NA,NA,NA
"99",1174,"EAC","EAC",NA,NA,NA
"100",1176,"EAC","EAC","EAC","EAC","tb0313"
"101",1178,"EAC","EAC","EAC","EAC","tb0094"
"102",1179,"UGC","UGC","UGC","UGC","tb0349"
"103",1182,"UPC","UPC","UPC",NA,NA
"104",1183,"UPC",NA,"UPC",NA,NA
"105",1185,"EAC","EAC","EAC","EAC","tb0275"
"106",1187,"UPC","UPC","UPC","UPC","tb0456"
"107",1189,"UGC","UGC","UGC","UGC","tb0498"
"108",1190,"EAC","EAC","EAC","EAC","tb0543"
"109",1191,"UPC","UPC","UPC","UPC","tb0593"
"110",1195,"EAC","EAC",NA,NA,NA
"111",1197,"UPC","UPC","UPC","UPC","tb1314"
"112",4021,"UGC","UGC","UGC","UGC","tb8082"
"113",4022,"EAC","EAC","EAC","EAC","tb8605"
"114",4030,"EAC","EAC",NA,NA,NA
"115",4036,"UGC","UGC","UGC","UGC","tb0247"
"116",4038,NA,NA,"EAC","EAC","tb9518"
"117",4039,"EAC","EAC",NA,NA,NA
"118",4040,"EAC","EAC",NA,NA,NA
"119",4047,"EAC","EAC","EAC","EAC","tb8898"
"120",4051,"UGC",NA,"UGC",NA,NA
"121",4055,"UPC","UPC","UPC","UPC","tb9327"
"122",4059,"UPC","UPC","UPC","UPC","tb9122"
"123",4060,"UPC","UPC","UPC","UPC","tb9317"
"124",4070,"UPC","UPC","UPC","UPC","tb9401"
"125",4078,NA,NA,"UPC",NA,NA
"126",4085,"UGC","UGC","UGC","UGC","tb9700"
"127",4132,"UGC","UGC","UGC","UGC","tb1109"
