"","Model","P-Val","Sig"
"1","KTEAInt-20_70",0.0216923661061279,"*"
"2","KTEANoInt-20_70",0.00734143527883035,"*"
"3","KTEAInt-15_70",0.0438772836886862,"*"
"4","KTEANoInt-15_70",0.0188350839294208,"*"
"5","KTEAInt-15_60",0.0226584082203185,"*"
"6","KTEANoInt-15_60",0.0194098314839136,"*"
"7","KTEAInt-15_65",0.0416826771271721,"*"
"8","KTEANoInt-15_65",0.0128411638885323,"*"
"9","WJ3Int-20_70",0.229549395633969,NA
"10","WJ3NoInt-20_70",0.538129516503921,NA
"11","WJ3Int-15_70",0.205161675196802,NA
"12","WJ3NoInt-15_70",0.276326227945373,NA
"13","WJ3Int-15_60",0.0502543821516261,NA
"14","WJ3NoInt-15_60",0.0993406558562144,NA
"15","WJ3Int-15_65",0.149657935263709,NA
"16","WJ3NoInt-15_65",0.0616298881693613,NA
"17","CompositeInt-20_70",0.319933314700426,NA
"18","CompositeNoInt-20_70",0.0206679901351498,"*"
"19","CompositeInt-15_70",0.458741566093044,NA
"20","CompositeNoInt-15_70",0.0247428487012785,"*"
"21","CompositeInt-15_60",0.516262912062311,NA
"22","CompositeNoInt-15_60",0.0291531493574655,"*"
"23","CompositeInt-15_65",0.537890611479497,NA
"24","CompositeNoInt-15_65",0.0314619728306107,"*"
