"","Model","EAC","UGC","UPC"
"WJInt-20_70NoImpute.csv","WJInt-20_70",40,26,20
"WJNoInt-20_70NoImpute.csv","WJNoInt-20_70",45,29,18
"KTEAInt-20_70NoImpute.csv","KTEAInt-20_70",28,21,15
"KTEANoInt-20_70NoImpute.csv","KTEANoInt-20_70",30,20,15
"WJInt-15_70NoImpute.csv","WJInt-15_70",32,26,20
"WJNoInt-15_70NoImpute.csv","WJNoInt-15_70",35,29,18
"KTEAInt-15_70NoImpute.csv","KTEAInt-15_70",25,21,15
"KTEANoInt-15_70NoImpute.csv","KTEANoInt-15_70",22,20,15
"WJInt-15_60NoImpute.csv","WJInt-15_60",32,41,26
"WJNoInt-15_60NoImpute.csv","WJNoInt-15_60",35,43,26
"KTEAInt-15_60NoImpute.csv","KTEAInt-15_60",25,26,20
"KTEANoInt-15_60NoImpute.csv","KTEANoInt-15_60",22,24,21
"WJInt-15_65NoImpute.csv","WJInt-15_65",32,35,24
"WJNoInt-15_65NoImpute.csv","WJNoInt-15_65",35,34,22
"KTEAInt-15_65NoImpute.csv","KTEAInt-15_65",25,24,18
"KTEANoInt-15_65NoImpute.csv","KTEANoInt-15_65",22,22,18
